HP 15-DW3013DX NOTEBOOK | CORE I3-1115G4 3.00GHZ | 256GB NVME | 8GB RAM | NO OS,US,$135.50,Used,Intel Core i3-1115G4,"15.6""",Silver,,,,3.00GHz,HP,,,,15-dw3013dx,Not Included,,,,https://www.ebay.com/itm/195849484712?hash=item2d9989f9a8:g:w6AAAOSw-iBknZhK&amdata=enc%3AAQAIAAAAsIqIRPse9t%2BUZ9Am5X25xxAq9EdVZGy%2BBSjb6k3uOp5jP4OC%2BxwNrzYzH3%2BLNZLVFFo%2Bz7UFIMwan0iVSoMPIIPLyIknRxnXTEuRmSjleps93XShnnUULW7rKPQILgCwHHTZXaEB0pivYOEWYrgg9oiZ%2B5qJX0uEin4hhh0b5w%2FQDVXsnwfiHo%2BHXoOqLxdcseFKwSPplcVpulKFVDqVe8yIGAHP36zLnWiIK34ko9%2FH%7Ctkp%3ABk9SR_z8vI-jYg
HP ENVY X360 M6-AQ103DX | INTEL CORE I5-7200U 2.50GHZ | 256GB | 12GB RAM | NO OS,US,$137.50,Used,Intel Core i5-7200U,"15.6""",Silver,,,,2.50GHz,HP,,,,ENVY x360 m6-aq103dx,Not Included,,,,https://www.ebay.com/itm/204380684036?hash=item2f9609bf04:g:R6AAAOSwkd5knJ5P&amdata=enc%3AAQAIAAAAsD1RIYzaTjFPp42xLDRx7S1jn8Yrll9uWA1A9K7hSixZYOrhqCRiH2uPbhV%2BOrcIwI%2BwYwux6v%2BCKI7nDfn%2F5bCplLDDXWsY3r8iPPRSHInI85ki%2BpkEPnGoJo39wvm%2FORbr6TDQHTCZg03wsI3VXwD4lDGydc52hFUWhEd%2BH4bAZU6s8M3aPJYKmR9v0YsTwCkyp9Eb3GQACcwlD7vQ28FJlD5LA8lNOm%2FBYpQpPcNO%7Ctkp%3ABk9SR_z8vI-jYg
HP ZBOOK 15 G3 | INTEL CORE I7-6820HQ 2.70GHZ | 512GB NVME | 16GB RAM | NO OS,US,$152.50,Used,Intel Core i7-6820HQ,"15.6""",Black,,,,2.70GHz,HP,,,,ZBook 15 G3,Not Included,,,,https://www.ebay.com/itm/204381318075?hash=item2f96136bbb:g:57IAAOSwvYxknYkA&amdata=enc%3AAQAIAAAA0GDmOjmtbYxNJf6BTa94vq%2FxadsK4lVTkYx8XOfXpYL4zwcqvkU2GBTBacB18juuIuL829pwubfd4te2h3iZ%2B%2BiH76rmTb6IVWbTFqRa1QlxBN05TnFR2Axqtq85upWitfJWyr1Bh3H7hIfnlo18Glsd%2BSQ5GwVYAtCDouVuc0ZowOwArLl2%2BKt0d3FCq2JqfD1tIYKrZJI5f0dNT%2BmsZe7yp7NZWFsar65wdU4dt2P%2FG3I%2FNuEpLlKGLcw8iPoY3r%2Bdjgg%2BnnO2AsXanwzobb8%3D%7Ctkp%3ABk9SR_z8vI-jYg
"Acer Spin 5 N17W1, i5 8th Gen, No Ram, Keyboard Lights Up, For Parts or Repair",US,$30.00,For parts or not working,Intel Core i5 8th Gen.,14.4 in,Black,,,,,Acer,,,,Acer Spin 5,,,,,https://www.ebay.com/itm/275923309982?hash=item403e4f959e:g:LrcAAOSw0flkmeuq&amdata=enc%3AAQAIAAAAsJRFPFOPYD%2BEcRWzn6v%2FHdnTkUnxD1kPtKOtc2smsx%2B0JP9znzfjZPQwuM3lu%2FmJl2q4xw3jYYYjPffDXU6liiSsT0jjTmG5lvqOn3SdQoN9UM%2FMSEiR%2F2KJtQdHGLD%2BBAy%2FzTClS8UUvrLDyAfXPVJXGiVpi3FOZ99rt1Fd189UbqLWGcUbSZPrh8xkNOHSN7ejHgZt8pwZuc64zlTK%2Bp5aloradadkmT6Hzonrgh9l%7Ctkp%3ABk9SR_z8vI-jYg
Libreboot Thinkpad X200 128GB SSD 2GB RAM,US,$229.00,Used,Lenovo,Intel Core 2 Duo,12.1 in,,2 GB,128 GB,,,ThinkPad,,,Lenovo ThinkPad X200,Linux,128 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/374732956921?hash=item573fd324f9:g:DM0AAOSwDwdkege8&amdata=enc%3AAQAIAAAA4Mg%2F4YwugSJnyilP4PQEkm2EcvjpM%2F%2FlQVlrL8IqMM%2FZO6LFhrTAxgKWjN2JEN9eOPLeV6qlMQlcG2JTC7VAIx3EXyaoVLJEHKeH7XlVzsT1zNwhje6mgXJKYl%2FnUcfLBk0MQ%2B7w257k8MW4Y20Gw17IvseOmhFFxGutYC1qoMnTPNPCOuA8HT6Z93pKpWVWpPOuCYn4JLKTrkJUXHRVretuV0%2FDK9bb56GTn03QCYAlKsSTaJhc%2FYCgZn03VFFhmGMB%2BPaPLpgj9UfUj9akqlbJdqIh0oJxfq04LJwREO2p%7Ctkp%3ABk9SR_z8vI-jYg
"Lenovo ThinkPad X220 12.5"" Notebook (Intel Core i5 2nd Gen 2.5GHz 4GB NO HDD)",,,For parts or not working,Intel Core i5 2nd Gen.,12.5 in,,4 GB,,,2.50 GHz,Lenovo,ThinkPad,Notebook/Laptop,,Lenovo ThinkPad X220,Not Included,,,,https://www.ebay.com/itm/285355533223?hash=item427083e3a7:g:o2EAAOSwW~Nknd7M&amdata=enc%3AAQAIAAAA4L21UBMpEFUlLkdpIog4bLm2hBa8F2FpSadNZ6HyBD2%2BIeGMN71Dde5vLHhQ88L13fUBQl86rP88Vq6vTOftMbP4V2iDuVpPkEMKVBAHSOFu9FfA%2FQrybWMsd4kF%2FmR26zXr%2FK%2F8yMrorhQWGwvs9OhMob7XxACvwlcbj3xddWPV9UQ%2Bt3IejcQRHP8KN57Mg9mJPr%2F%2BoqsztB9HAFnYoWR%2FykidcpjPVjNIRPo3I78EQcKWQpi1j2Mf%2BlPVsa%2BrXv%2FJQYKHE1FYXtl6B5cRMKsU4EdtQL2BUDUOVscikKkE%7Ctkp%3ABk9SR_z8vI-jYg
Dell Latitude E5430 i5-3380M 4xCPU@2.9GHz 8GB RAM 120GB SSD Win 11 Pro(6-29-9),US,$20.50,Used,Intel Core i5 3rd Gen.,14 in,Silver,8 GB,120 GB,Intel HD Graphics 4000,2.90 GHz,Dell,Latitude,Notebook/Laptop,,Dell Latitude E5430,Windows 11 Pro,120 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/225645613464?hash=item348986d198:g:J4kAAOSw5v5knhIr&amdata=enc%3AAQAIAAAAsEKNtninQP1%2Be0p75Sggsw8pyRLCfzTTwbm3b%2BdokcrSJWvC3HIGrC9GPI4V%2B5SedJVm5VIy2SGuuOP3qJmZgiu3VBDCiekbsqyQnczCn8kI%2F3dCBMPtOlj%2FB8GzQRimXH%2BeD2y9jtgmTi6b4hcJHMHlYKr%2BnPHkPRKZukAV1Cw84LB%2BrxP9bxZUSvxf3MyPnGwTAqIfMTjZsey3IopjudF3VW%2FJYqQbankjELnMKbix%7Ctkp%3ABk9SR_z8vI-jYg
"Dell XPS 15 9500 i7-10750H 64GB RAM 1TB SSD 15.6"" 4K Touchscreen GTX 1650Ti",US,$649.00,Used,Intel Core i7 10th Gen.,15.6 in,Silver,64 GB,1 TB,NVIDIA GeForce GTX 1650 Ti,2.60 GHz,Dell,XPS,Ultrabook,3840 x 2160,Dell XPS 15 9500,Windows 10 Pro,64 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/134638520615?hash=item1f5914c927:g:gucAAOSwgURkofxZ&amdata=enc%3AAQAIAAAA4F99ZbSnuDgm280n3m8T6v5DOUBUg95RSpmbXalVyIYK1uGNxcHS%2F4%2BaJqwjiO1CQ4yqeHulR9quAKwMf8MZoAotXCSJYNsTNJt%2B%2BO%2FDJxoMQG%2F0UrbaKRRAtFhT3S%2Fa1%2BADqxoaMucqC8m%2FcZV6EUMmZu6Q%2FKMNQt6w0qM4H%2BYU%2F2RRnWNDNVgCUwKwgNz05j5rNjpnimBj10UpHTZy2IaW0jdXcpSFlZ%2BxIYjvT2UxhBshW6ICwXW2BCK%2BOC6CSlz8fLRvKV%2B%2FoyKZVvUlUinXp9Bk0XoAH6UDP1HNCqod%7Ctkp%3ABk9SR_78vI-jYg
"Lot of 4 LENOVO Thinkpad T450s 14"". 2) i7-5600u 2.60GHz. 2) i5-5300U 2.30GHz",US,$185.00,Used,Intel Core i7 5th Gen.,14 in,Black,8 GB,,Intel HD Graphics,2.60 GHz,Lenovo,ThinkPad,Ultrabook,,Lenovo ThinkPad T450S,Windows 10,500 GB,HDD (Hard Disk Drive),,https://www.ebay.com/itm/295785914245?hash=item44de36df85:g:bgMAAOSwBVNkg3Ah&amdata=enc%3AAQAIAAAA4Dbm%2B%2FHHDsNbx%2BJ1n0aryFuseeVLCjLmjTLvBnk7yyh%2BKYeopbt4Fk%2BWtWDVegw7GJhd2TZUInVU%2FoYDaYvAbKFRq6qRfwu4YNr1D0YewsvIQpmnnLMO%2BnYwKlEISJWz4JOmbZ8SI9E4zlNTJ4nxt522GREf%2FZ%2FMQw%2Bzya4Vuk3TVeCP51rByWfrWdHwGcyMB7tNaVcu0%2FkoYJdzHs6NeNbnqilOsRh4lPFRjdC7%2BE2%2Bf1eT4gennWTuSHFJ3IjtMmK5%2FTvodozyBTHBFVMTDJZ1QlkpqMFY1fyqc4cXpZat%7Ctkp%3ABk9SR_78vI-jYg
Asus ROG Zephyrus M16 RTX 3070 TI i9-12900H 40GB RAM 1TB SSD,US,"$1,299.00",Used,i9 12th gen,16 in,,40GB,1 TB,,,ASUS,,,,ASUS ROG Zephyrus M,Windows 11 Pro,1 TB,SSD (Solid State Drive),,https://www.ebay.com/itm/325714809697?hash=item4bd61d9361:g:uaoAAOSwP9lkn0xO&amdata=enc%3AAQAIAAAA4KlvdOsUu0KNVNrOBZaozFbvrXnG0OUZWnhNcVR8Yxl7RjZeQZ2D69czPfXG8oX6%2BdBahwB9prfV7wMKlOXqsTMT0Of2jJvtYHhBlBeTG0EAnG6uDeyzReDc9CDkRFNNuSuEkA5X1WlZNG2nWwP0iZnzAdVN3z3zi2kGbslY0%2FMRot6T1ahfQyQyqqrLr1cMTvhihRioNzfndY%2FASx%2BZLTTopT67pQ4GNCkuVyMtQhLQMr9wO%2BXcwi9FStwCs6PzMSrCibiR52HsE6s2jt6mectaez1I7K1YaEfWgrfkWUm3%7Ctkp%3ABk9SR_78vI-jYg
"Acer - Predator Triton 300 SE 14"" 144Hz Laptop upgraded RAM and SSD RTX 3060",US,$655.00,Used,SSD (Solid State Drive),Intel Core i7 11th Gen.,14 in,,,1 TB,,,Acer,,Notebook/Laptop,,Acer Predator Triton 300,Windows 11 Home,1 TB,,https://www.ebay.com/itm/204377833123?hash=item2f95de3ea3:g:oXYAAOSwHCBkjciK&amdata=enc%3AAQAIAAAAsBN4gnNoRfX7hx5o6zjQ7GcfekFvSd%2F%2B%2BiKs0FaH1LLoiDaelXwDyeeahJWXa6PX5%2FDzU3eZ6%2Bah8Ome3mjaCHwtCisTty3YvYh3CmbujBn%2BerMTaROOqn3cu28cn8Y4dDdxK1g7gRangiXpO1zJkj32FAiuJOvrJ2619xUJDYmTj1trpYnuprgiMlSm6sn2FD%2FELL3cQCc2xCX7miWTWP7NhDSUk8WhC7tZ8V2URpsT%7Ctkp%3ABk9SR_78vI-jYg
"Acer Aspire 3 N19C1, i5 10the Gen, 4GB RAM, Does Not Power On, Parts or Repair",US,$30.00,For parts or not working,Intel Core i5 10th Gen.,15.5 in,Grey,4 GB,,,,Acer,,,,Acer Aspire 3,,4 GB,,,https://www.ebay.com/itm/275923309986?hash=item403e4f95a2:g:vBsAAOSwAcRkmewe&amdata=enc%3AAQAIAAAAsPbL9%2Fsz3KT4G1dTK5IGLokziOfgKyKQ64d9ir4N59oYL6TpWmfF4Mllj%2F4Drm0RRPU11idD20kYbJFMK%2Bv4Kp5f4YRkrXlyt1FRJf%2F5m3fi7YwQX9h%2FzZdoKo5IW5JDAI3Yl2Wrh0qog8z1FgmsIuu4qoYsSwHSG3G7FrA%2BNPShTqdI5yinXcikgKcxoUMRYhhyurZEJ90%2Fg0ExSVqT3rJjTU9YC%2F2dyHgphIUXfseL%7Ctkp%3ABk9SR_78vI-jYg
Lenovo ThinkPad X1 Yoga Intel Core i7-6500U 2.50GHz 8GB RAM 256GB M.2 SSD Win 11,US,$133.00,Used,Intel Core i7 6th Gen.,14 in,,8 GB,256 GB,,2.50 GHz,Lenovo,Yoga,Notebook/Laptop,1920 x 1080,Lenovo ThinkPad X1 Yoga,Windows 11 Pro,,SSD (Solid State Drive),,https://www.ebay.com/itm/354877726116?hash=item52a05c5da4:g:dioAAOSwTK1km27t&amdata=enc%3AAQAIAAAA4E%2Bt0yjdNKekhRp%2BDDdH6B%2B2wYmV7u2KJUzHO%2BQifBxJolHJwRAk0oYSP1%2Bw73iEvUXAA98aJgLhUYarl58e0GBjlBsIX0APz2JcIK9p6I1vnoj534qb1NJBbpyQ7KF9PiXrKei2qfKrqK2fDB34SU1hiEyeP%2F1dOQMdXSpAsCQxhcVqyLHLOYV9ZVDF84Xz4PTNoq9UHjWgHtEWrJHaSWuqrKUMr%2BfhBpxUNQ6%2FkipSQ6NwoYrCqN7KrWm6sK6anwu1nz7gptTTPSi8h%2BLNHwUDrEWKw%2B7iG%2BsNBLU9wWHh%7Ctkp%3ABk9SR_78vI-jYg
DELL INSPIRON 5559 | INTEL CORE I5-6200U | 120GB SSD | NO OS |,US,$69.00,For parts or not working,Intel Core i5-6200U,"15.6""",,,120 GB,,2.30GHz,Dell,,,,Inspiron 5559,Not Included,,,,https://www.ebay.com/itm/175790353475?hash=item28edebec43:g:w-cAAOSwsylkmjbx&amdata=enc%3AAQAIAAAAsAGv68yV2L08mE9ZHUzxaMjYDkupBnqXHWXNzxrY88TUCQ6kv%2Bl8rfzjCj5DS4l%2Ffxl%2B2DgbfoehnTjcbiRKT9GHTlUliqwruoZR9GF0YYLNYu7pv%2FiZXM%2BEGwP6uFWa6obXwC7wcqS%2BpWPHMLL0btkoMzsOxO4H7HfZyfgddpkf7W0gHx1SaNXXymakvr3t229A7idhLzpJcNTnIYRfJyVXb8kHTTESITHEpLgR1Qjb%7Ctkp%3ABk9SR_78vI-jYg
Hp Chromebook 14-db0023dx 2gb,US,$33.00,Used,Intel Celeron D,14 in,Black,2 GB,16 GB,,,HP,,Notebook/Laptop,1366 x 768,Hp Chromebook 14-db0023dx,Chrome OS,4 GB,SSD (Solid State Drive),,https://www.ebay.com/itm/394706348347?hash=item5be654e93b:g:AxsAAOSw9-9kenOf&amdata=enc%3AAQAIAAAAsB0YWJktgJjEB8CViqhvvSyAgj4ZvwdYtkmSy6MCEtq9q4dZuCGRk8Yip%2FscXWuxO6awXtk9e6WOkSVRFLL6HbKmlrJDvbQFZEdCKC8Sd278Ue9krxDkgvfhD1dButwF2T0OLLqYnxxqPYRpOZojX6tnCNASQ7M9TjtRSQ6q17k3wHHlXnpYmF21CFpzOVCx1i3fHkS5Katc1pfnKufuDuGv1WDq15cr6NvEFZhNeeb3%7Ctkp%3ABk9SR_78vI-jYg
Dell Latitude 7290 Core i5 8350U 1.7GHz 8GB RAM 128GB SSD 12.5'' No OS Laptop,US,$102.50,Used,Core i5 8350U,12.5,,8GB,,,1.7GHz,Dell,,Laptop,,7290,No OS,128GB,,,https://www.ebay.com/itm/134637389340?hash=item1f5903861c:g:jboAAOSwSRRkjLnK&amdata=enc%3AAQAIAAAAwNILYs7M8BRakhJa6CP%2FgCl6mnOF1wHXpGvwA2ajyR3XU6xc3vok0gh6XNfY3SnzbtaYSc6NIAFQodyJJbP6Q7WTsFsIabwSql0QGX8SFvUzGew6gNylZcJBPZYGrdIjvR%2BWgt3jT0AQTKkthH7K4mQKM2ebckaOUp%2BsN74HCxkwCI%2BUYlUFHCgKjJm7l9GLXy0%2Frg7e4nyrI8ueBNvK2HBUFH3%2BXvuYlImejEI9%2F7CXUvy3z%2F6bEEC6yPf%2BtyoVRA%3D%3D%7Ctkp%3ABk9SR_78vI-jYg
"Lenovo IdeaPad 310, 4GB Ram, i5 7th Gen, Powers On, For Parts or Repair",US,$37.00,For parts or not working,Intel Core i5 7th Gen.,15.5 in,Black,4 GB,,,,Lenovo,,,,Lenovo IdeaPad 310,,4 GB,,,https://www.ebay.com/itm/275923309985?hash=item403e4f95a1:g:f-sAAOSw9XRkmezt&amdata=enc%3AAQAIAAAA0CZzlJUnwGxkROglDKWJ18MHIBAFjXK56GdbrHpx0%2BNg%2FWwd%2BgTIzRcyWHVBrFXZ7Pnt%2Bg1qkrDED35cAmKKlZmhYYCmf3hVYnIhRjm0ffFqxw0fMpUJUfRtFe%2Be9mEswpvFghvzoNHQUsLwvP6CGmWxJQUsQyL2PqQtjShCujLjenFgJDSWbLSF5ojHeTlkoa5lzWkUlqpdJrnAhx2%2Fy1q5hZWQE1BshqRPYcy2KJz9aJbg6z1s1thuzfEWsR718hNs2mJcPUuDGO737JByjcM%3D%7Ctkp%3ABk9SR_78vI-jYg
Lenovo ThinkPad E490 | i5 1.6GHz | 8GB 256GB-SSD | *READ DESCRIPTION*,US,$110.00,Used,Intel Core i5 8th Gen.,14 in,,8 GB,256GB,Intel UHD Graphics 620,1.60 GHz,Lenovo,,Notebook/Laptop,,Lenovo Thinkpad E490,Windows 10 Pro,,SSD (Solid State Drive),,https://www.ebay.com/itm/235067850353?epid=0&hash=item36bb22be71:g:7qEAAOSwdvpkfkMl&amdata=enc%3AAQAIAAAAsIBLehuUSaYPvIn9r7K3zMriZf4tzKiVwQBe7ofon16UZfc0hppBCQldMcwwiPv1JcEL3we4m0TnhjumDBO7%2FPXdwGZ%2B8RbttWvicW2JmpUtvjSMEL6HA2TQCJ5wGgRR5GHfXPRRYlJqLwBhwjYHmVKKHpDRm1lTv79NidZWg2EXduyqoUHMEWyr336UJcMA32oAqBwOt9TlC7SF4SFUruHC2R2HzXccEp1Im%2B0GeYrm%7Ctkp%3ABk9SR_78vI-jYg
